DATE,IPG3113N
1991-05-01,82.5493
1991-06-01,89.3206
1991-07-01,87.1530
1991-08-01,95.5916
1991-09-01,96.8362
1991-10-01,108.1982
1991-11-01,112.8078
1991-12-01,109.0628
1992-01-01,91.0546
1992-02-01,89.7158
1992-03-01,82.8220
1992-04-01,80.2673
1992-05-01,78.1896
1992-06-01,80.8516
1992-07-01,80.2186
1992-08-01,83.6887
1992-09-01,90.5756
1992-10-01,103.4708
1992-11-01,106.2513
1992-12-01,105.6659
1993-01-01,91.4171
1993-02-01,89.0180
1993-03-01,82.5404
1993-04-01,78.0240
1993-05-01,77.0246
1993-06-01,82.5868
1993-07-01,83.3743
1993-08-01,90.0900
1993-09-01,94.6241
1993-10-01,108.7299
1993-11-01,108.7017
1993-12-01,106.9258
1994-01-01,91.7330
1994-02-01,87.7365
1994-03-01,85.7617
1994-04-01,77.7865
1994-05-01,75.7714
1994-06-01,81.6771
1994-07-01,83.9942
1994-08-01,89.6785
1994-09-01,95.5768
1994-10-01,107.1678
1994-11-01,107.2676
1994-12-01,108.8305
1995-01-01,93.7837
1995-02-01,86.3938
1995-03-01,83.7547
1995-04-01,82.0746
1995-05-01,81.4918
1995-06-01,85.5796
1995-07-01,85.5314
1995-08-01,89.0621
1995-09-01,93.3653
1995-10-01,104.8774
1995-11-01,107.8928
1995-12-01,112.2929
1996-01-01,90.7618
1996-02-01,91.9497
1996-03-01,89.6554
1996-04-01,82.5860
1996-05-01,84.5374
1996-06-01,87.4498
1996-07-01,85.5891
1996-08-01,94.1265
1996-09-01,99.9366
1996-10-01,109.9041
1996-11-01,116.5219
1996-12-01,118.5217
1997-01-01,96.3060
1997-02-01,95.4509
1997-03-01,92.7503
1997-04-01,85.4505
1997-05-01,84.7746
1997-06-01,88.4368
1997-07-01,85.6063
1997-08-01,95.7685
1997-09-01,100.1960
1997-10-01,112.8112
1997-11-01,117.7458
1997-12-01,118.5090
1998-01-01,104.3528
1998-02-01,102.0962
1998-03-01,96.5394
1998-04-01,92.4782
1998-05-01,93.2950
1998-06-01,96.5298
1998-07-01,94.9230
1998-08-01,102.4578
1998-09-01,105.2817
1998-10-01,115.4971
1998-11-01,119.2547
1998-12-01,118.3607
1999-01-01,102.1870
1999-02-01,99.8498
1999-03-01,93.2465
1999-04-01,92.5315
1999-05-01,93.9000
1999-06-01,94.3407
1999-07-01,93.8920
1999-08-01,97.9818
1999-09-01,101.5917
1999-10-01,114.6592
1999-11-01,114.7603
1999-12-01,117.2012
2000-01-01,107.2412
2000-02-01,104.2867
2000-03-01,99.2395
2000-04-01,100.9747
2000-05-01,94.6764
2000-06-01,99.4506
2000-07-01,97.4160
2000-08-01,102.6643
2000-09-01,109.4108
2000-10-01,119.1345
2000-11-01,118.1074
2000-12-01,120.7835
2001-01-01,106.7419
2001-02-01,106.1442
2001-03-01,103.2805
2001-04-01,99.8862
2001-05-01,98.3535
2001-06-01,100.4432
2001-07-01,98.8376
2001-08-01,104.2248
2001-09-01,107.5635
2001-10-01,109.3151
2001-11-01,112.0996
2001-12-01,112.9027
2002-01-01,102.3681
2002-02-01,99.7289
2002-03-01,96.0417
2002-04-01,91.1519
2002-05-01,88.6766
2002-06-01,97.7040
2002-07-01,96.1288
2002-08-01,102.3437
2002-09-01,104.0572
2002-10-01,108.0309
2002-11-01,111.9922
2002-12-01,108.1745
2003-01-01,98.4704
2003-02-01,96.8665
2003-03-01,96.9060
2003-04-01,91.6250
2003-05-01,93.7626
2003-06-01,97.2838
2003-07-01,89.5920
2003-08-01,98.5357
2003-09-01,101.6998
2003-10-01,108.9584
2003-11-01,115.5455
2003-12-01,112.0587
2004-01-01,101.0508
2004-02-01,102.3264
2004-03-01,90.3585
2004-04-01,88.8856
2004-05-01,95.5204
2004-06-01,92.5021
2004-07-01,92.3843
2004-08-01,101.2454
2004-09-01,105.2134
2004-10-01,115.3443
2004-11-01,116.1239
2004-12-01,113.4162
2005-01-01,108.7016
2005-02-01,108.1499
2005-03-01,93.5933
2005-04-01,93.1702
2005-05-01,97.1895
2005-06-01,93.4262
2005-07-01,96.0058
2005-08-01,99.9598
2005-09-01,104.1652
2005-10-01,119.2641
2005-11-01,118.4954
2005-12-01,121.4636
2006-01-01,102.6094
2006-02-01,102.1546
2006-03-01,93.9862
2006-04-01,93.2686
2006-05-01,88.4770
2006-06-01,88.5189
2006-07-01,88.4363
2006-08-01,97.5460
2006-09-01,104.4416
2006-10-01,113.1698
2006-11-01,113.9607
2006-12-01,115.5053
2007-01-01,106.5728
2007-02-01,101.9668
2007-03-01,98.5220
2007-04-01,86.8897
2007-05-01,85.5558
2007-06-01,82.6706
2007-07-01,79.4454
2007-08-01,87.4636
2007-09-01,95.5682
2007-10-01,100.5980
2007-11-01,102.7454
2007-12-01,104.7263
2008-01-01,94.4020
2008-02-01,88.4075
2008-03-01,84.5049
2008-04-01,79.9321
2008-05-01,77.4478
2008-06-01,77.5836
2008-07-01,74.2352
2008-08-01,77.2549
2008-09-01,90.0804
2008-10-01,99.4489
2008-11-01,100.9843
2008-12-01,88.6537
2009-01-01,78.2796
2009-02-01,77.4500
2009-03-01,74.4436
2009-04-01,69.3343
2009-05-01,69.7980
2009-06-01,69.2049
2009-07-01,71.6203
2009-08-01,77.5279
2009-09-01,88.1192
2009-10-01,107.7949
2009-11-01,102.0858
2009-12-01,101.6592
2010-01-01,87.5599
2010-02-01,86.3674
2010-03-01,80.2017
2010-04-01,78.0176
2010-05-01,78.4020
2010-06-01,77.9568
2010-07-01,83.9774
2010-08-01,92.9126
2010-09-01,100.7959
2010-10-01,109.8495
2010-11-01,102.3998
2010-12-01,103.2952
2011-01-01,89.6644
2011-02-01,89.2279
